nf_calories,nf_sodium,nf_dietary_fiber,nf_protein,nf_vitamin_a_dv,nf_vitamin_c_dv,nf_calcium_dv,nf_iron_dv,nf_serving_weight_grams,key_ingredient
14.45,6.8,1.79,1.05,148.07,5.67,2.81,4.58,85,Lettuce
20.1,1.34,1.88,0.47,0.67,32.5,2.21,2.23,67,Lime
15,5,2,1,150,6,2,4,85,Little Gem Lettuce
169.06,1.07,1.93,6.21,0,0,0.75,7.61,107,Macaroni
174.25,76.5,0,15.81,2.84,0.57,1.02,7.7,85,Mackerel
40,300,1,0,6,2,0,2,21,Madras Paste
1.63,0.46,0.24,0.08,0.97,0.51,1.19,2.76,0.6,Marjoram
174.6,928,3.4,2.8,,,,,100,Massaman Curry Paste
66.48,0.24,1.61,0.43,0.72,0,1.54,1.2,24,Medjool Dates
60,15,0,1,0,0,0,4,23,Meringue Nests
90.65,129.85,0,8.75,10.49,4.08,31.61,0.68,245,Milk
44.7,5.1,0.63,1.91,0.05,15.6,5.43,2.83,30,Minced Garlic
100,25,,0,0,0,0,0,30,Miniature Marshmallows
7.88,0.76,0,0,0,0,0,0,2,Mint
104.44,168,0,6.85,4.31,0,20.89,1.12,28,Monterey Jack Cheese
40,90,0,3,,,,,,Mozzarella Balls
389.08,224,0,0.3,,,,,100,Muscovado Sugar
43.68,3.12,3.43,3.39,0,10.4,0.94,15.08,156,Mushrooms
5,70,,0,0,0,0,0,5,Mustard
32,0.82,0.77,1.64,0.04,0.75,1.68,3.22,6.3,Mustard Powder
32,0.82,0.77,1.64,0.04,0.75,1.68,3.22,6.3,Mustard Seeds
11.55,0.35,0.46,0.13,0.04,0.11,0.4,0.37,2.2,Nutmeg
123.76,0,0,0,0,0,,,14,Oil
119.34,0.27,0,0,0,0,0.01,0.42,13.5,Olive Oil
2.05,1798.81,0.09,0.06,0,0,0,0,5.24,Onion Salt
41.36,2.82,1.32,1.28,0.04,8.15,2.07,1.25,94,Onions
68.6,1.4,3.08,1.27,6.92,137.9,6.02,1.01,140,Orange
1.94,0.06,0.21,0.03,0.17,4.53,0.32,0.09,2,Orange Zest
4.77,0.45,0.76,0.16,0.61,0.07,2.87,3.68,1.8,Oregano
9.18,491.94,0.05,0.24,0,0.03,0.58,0.18,18,Oyster Sauce
6.49,1.56,0.8,0.33,22.66,0.03,0.53,2.7,2.3,Paprika
80,600,,9,,,,,30,Parma Ham
21,90.2,0,1.42,0.97,0,4.27,0.14,5,Parmesan
21,90.2,0,1.42,0.97,0,4.27,0.14,5,Parmesan Cheese
40.38,141.73,0,3.68,1.61,0,12.2,0.47,10.3,Parmigiano-reggiano
3.6,5.6,0.33,0.3,16.85,22.17,1.38,3.44,10,Parsley
1542.84,43.86,12.9,57.3,0,0,12.64,24.94,258,Peanut Butter
39.78,0,0,0,0,0,0,0.01,4.5,Peanut Oil
862.56,460.8,13.54,40.36,0,1.92,8.78,12.16,144,Peanuts
134.4,4.8,8.8,8.58,25.63,37.87,4.32,13.69,160,Peas
109.71,406.26,0,9.02,2.35,0,30.16,1.21,28.35,Pecorino
169.06,1.07,1.93,6.21,0,0,0.75,7.61,107,Penne Rigate
17.32,1.38,1.75,0.72,0.75,0,3.06,3.72,6.9,Pepper
11.44,0.03,0.06,0.23,0.01,0.02,0.03,0.52,1.7,Pine Nuts
20,120,0,0,0,0,0,4,15,Pitted Black Olives
504.2,0,1,5.8,,,,,100,Plain Chocolate
344.42,0,3.2,10.4,,,,,100,Plain Flour
3.6,1,0.24,0.18,3.33,4.57,0.2,0.3,20,Plum Tomatoes
373.55,528,,8.4,,,,,100,Pork
42.84,6.6,0.71,0.83,0,1,1,1,12,Potato Starch
195.3,21,4.63,5.25,0.43,33.6,3.15,12.6,210,Potatoes
172.55,1373.15,0,33.03,8.73,0,13.19,2.58,145,Prawns
223.2,101.2,0.6,2.96,0.01,0,0.4,5.78,40,Puff Pastry
55.6,6.4,0.22,0.07,0,2.93,0.4,0.54,20,Raspberry Jam
66.88,560,0.5,14.4,,,,,100,Raw King Prawns
5,1.5,,,,,,,,Red Chile Flakes
5,1.5,,,,,,,,Red Chilli
5,1.5,,,,,,,,Red Chilli Powder
41.36,2.82,1.32,1.28,0.04,8.15,2.07,1.25,94,Red Onions
5,1.5,,,,,,,,Red Pepper
16.85,1.59,1.44,0.64,44.11,6.75,0.78,2.3,5.3,Red Pepper Flakes
